,window_size,k_value,final_return,std,daily_turnover
0,100.0,10.0,6.531098407013475,0.013503837118423189,0.41714583681997175
1,100.0,100.0,6.305711165867645,0.009946152206431086,0.36562048329021696
2,100.0,20.0,8.930929054826592,0.01183218424562654,0.42197167308530215
3,100.0,200.0,6.375459859483215,0.010002989296185615,0.34137343694368133
4,100.0,30.0,6.89224717643598,0.010767491501470043,0.4031018800051719
5,100.0,300.0,5.819535805638813,0.010148301139899726,0.3144333852301492
6,100.0,350.0,5.464273706661036,0.010254815815421236,0.29211539207942555
7,100.0,5.0,3.893419628578687,0.014846079381190397,0.4466329955513029
8,100.0,50.0,6.486399589791973,0.010036999761809454,0.37495791041096227
9,200.0,10.0,3.880704749322491,0.014492246521501499,0.3883368906094754
10,200.0,100.0,5.802831566821823,0.010126371690412918,0.30535117295478903
11,200.0,20.0,7.486984847357459,0.012254766821513679,0.364275430542573
12,200.0,200.0,5.884821465022121,0.010126615073531667,0.2922552278991111
13,200.0,30.0,7.055539940804231,0.011096864904072702,0.3313060652966531
14,200.0,300.0,5.545839152857933,0.010260400510199462,0.28037543616504856
15,200.0,350.0,5.225346521495744,0.010361157371367787,0.27084602911040256
16,200.0,5.0,2.920966475107764,0.015074791678023,0.4093305933566096
17,200.0,50.0,5.767587460175251,0.010183360372107592,0.3203429041878023
18,300.0,10.0,4.60706315056469,0.015167371851799826,0.33661125777222023
19,300.0,100.0,6.07689071005298,0.010248888117829398,0.280320124552521
20,300.0,20.0,6.866947439621741,0.012340155803430139,0.3200866959536993
21,300.0,200.0,6.131622554721903,0.010251275127478999,0.26932550839814157
22,300.0,30.0,6.611685074828823,0.011235314378764495,0.30072699805296715
23,300.0,300.0,5.262199125696452,0.010382023798572206,0.26619779308799596
24,300.0,350.0,5.097616843516199,0.010461705101323965,0.26092515865811605
25,300.0,5.0,5.467578960351366,0.015564682531178058,0.33957687853133156
26,300.0,50.0,6.24142231703047,0.010237631545910725,0.28859768273663255
27,30.0,10.0,8.073752497004392,0.013636840121407078,0.6751954980079249
28,30.0,100.0,6.72073226520352,0.009971411525465006,0.579705480496134
29,30.0,20.0,11.18392254505094,0.011785686593842699,0.6515041823471043
30,30.0,200.0,6.28203584355399,0.009851488771395705,0.5238174418046396
31,30.0,30.0,13.5425014417717,0.01146587371145364,0.6229504699241016
32,30.0,300.0,6.047075767165746,0.009997149027390954,0.4336472426737483
33,30.0,350.0,6.111147377307493,0.010100168354045383,0.38566366223067816
34,30.0,5.0,10.36937549000098,0.013650301792864894,0.6547561959254212
35,30.0,50.0,10.11061317959655,0.010871123718156794,0.5831886650969205
36,500.0,10.0,6.947227179599124,0.014592705070037543,0.3284735470423438
37,500.0,100.0,5.096398038647347,0.010457121921477226,0.252260892314858
38,500.0,20.0,7.896297896097471,0.012509488039997213,0.2975282581095669
39,500.0,200.0,5.753912102815301,0.010530137975388881,0.24149995792809084
40,500.0,30.0,5.272902731774018,0.011333650666258965,0.2923585813318958
41,500.0,300.0,5.434803873253125,0.010590839610611746,0.24339057446397408
42,500.0,350.0,5.020792737833712,0.010681428612781419,0.24418947068530195
43,500.0,5.0,5.78233305455987,0.014078416746000001,0.2975102611991507
44,500.0,50.0,5.410237679308644,0.010477815621317754,0.2660267183898685
45,50.0,10.0,5.174326518751185,0.012899094006191126,0.556854093497202
46,50.0,100.0,6.911687631723603,0.010360871735564355,0.4555698964008393
47,50.0,20.0,7.382064657002298,0.011423924408651307,0.5257449450206669
48,50.0,200.0,6.986971036327676,0.01001298567960832,0.41855823895733135
49,50.0,30.0,6.687737663088171,0.010635930902047282,0.49953619355323586
50,50.0,300.0,6.428644115260967,0.01010957555913288,0.3661005891349329
51,50.0,350.0,6.37251137332694,0.010202984025400283,0.3293847814222405
52,50.0,5.0,1.946059488848755,0.014443226536276992,0.5537586110959308
53,50.0,50.0,9.185736107981707,0.011846411773841914,0.4677635562599472
54,100.0,10.0,3.89586490222436,0.01311411818379349,0.45108717637549284
55,100.0,100.0,4.332315888197019,0.010918516844803144,0.3900187853470908
56,100.0,20.0,5.619497018837809,0.012207047177193323,0.4265115686107703
57,100.0,200.0,5.093616524086171,0.010814109298325845,0.36271253237066947
58,100.0,30.0,4.215506701174022,0.011717421858030614,0.40969545377028044
59,100.0,300.0,5.169121278845664,0.010422616209669533,0.3141001446916041
60,100.0,350.0,5.185159951593957,0.010244462306458844,0.28269829230673665
61,100.0,5.0,4.227424093802724,0.014300705579437372,0.39355836227331953
62,100.0,50.0,4.120491794070111,0.011039928687796735,0.3956752387361423
63,200.0,10.0,3.35599493927685,0.012948690274289697,0.4118280360286406
64,200.0,100.0,4.424603690269337,0.01093816598628518,0.33403418655732164
65,200.0,20.0,5.705113430344723,0.01226700333340458,0.3944920651814221
66,200.0,200.0,5.136087963906607,0.010856777553392214,0.30787565113489745
67,200.0,30.0,4.643865930485299,0.011666154659352682,0.36400295189184406
68,200.0,300.0,5.206815639688012,0.010504012985280193,0.27962011041803625
69,200.0,350.0,5.021573088646359,0.010326922966558637,0.25724176139177396
70,200.0,5.0,4.647970145197763,0.01413388879403867,0.4092385813885098
71,200.0,50.0,4.676211799017771,0.011017748492759773,0.3385688766223123
72,300.0,10.0,4.920619717613754,0.013281682334981233,0.37051248986385316
73,300.0,100.0,5.172786388915387,0.010923595779928436,0.30078445533359077
74,300.0,20.0,5.371943916122995,0.012443829547075428,0.3500421088715143
75,300.0,200.0,5.871217118924672,0.010891431111685097,0.2798823268885426
76,300.0,30.0,4.838553836497629,0.011697225593526326,0.33151371373327615
77,300.0,300.0,5.309052950452788,0.010566485292657591,0.26101288406032913
78,300.0,350.0,5.278004238387881,0.010410936369801319,0.24653765442039974
79,300.0,5.0,7.514267776689827,0.013931486147055737,0.38652830419471684
80,300.0,50.0,5.440082868798576,0.011028058777903998,0.31317084093984227
81,30.0,10.0,1.879704847439981,0.01289601048571455,0.620914937719567
82,30.0,100.0,4.989588336792988,0.01095418698772903,0.6089391826665287
83,30.0,20.0,7.014371780340639,0.012263393144310828,0.6146441503076007
84,30.0,200.0,6.308076082429147,0.010865535852975543,0.5705560465469036
85,30.0,30.0,9.121752529612627,0.011766656914548663,0.5896894870558003
86,30.0,300.0,5.810655781033241,0.010391248687845245,0.44155164896422056
87,30.0,350.0,6.028562073757644,0.010115314229284038,0.36605334117330235
88,30.0,5.0,2.258653522207331,0.014010226440263946,0.629530037757715
89,30.0,50.0,5.666937843892597,0.011090808383466497,0.617381587151684
90,500.0,10.0,3.956683468203895,0.013107790855968304,0.27632561172194675
91,500.0,100.0,5.718387298266942,0.011013240773550306,0.2388862739526022
92,500.0,20.0,3.995789880160063,0.012378273315478623,0.26970408632707527
93,500.0,200.0,5.463873744591228,0.010980223352445112,0.22675404096993043
94,500.0,30.0,4.822106514541103,0.011650204317577559,0.25710029452690686
95,500.0,300.0,5.32474953730844,0.010755211258714925,0.21874636081406248
96,500.0,350.0,5.089232198743975,0.010620317152889653,0.20575829591810207
97,500.0,5.0,3.943397641399508,0.013330222870833503,0.2471910375456439
98,500.0,50.0,4.668637493173063,0.011092291805733581,0.23717808932264786
99,50.0,10.0,5.990216487200136,0.013062168409929468,0.5363786616491677
100,50.0,100.0,4.631014319827848,0.010939917441330875,0.4862567444833441
101,50.0,20.0,7.642611756662205,0.01220851211931698,0.5161298998790916
102,50.0,200.0,5.530107847696196,0.010842546598065536,0.45353395851149464
103,50.0,30.0,6.623643721830661,0.011789194844380341,0.48646201623439006
104,50.0,300.0,5.544220511125461,0.010410239867750047,0.3661315466771768
105,50.0,350.0,5.847265177037365,0.010161555489597313,0.319446265420394
106,50.0,5.0,6.00432244385276,0.014786253633924391,0.536275028386655
107,50.0,50.0,4.850652192671972,0.011144868430835514,0.5072487198604062
